name,position,team,projected_points,adp,tier
Kenneth Walker,RB,SEA,262.5,26.4,3
Aaron Jones,RB,MIN,258.9,28.2,3
Rhamondre Stevenson,RB,NE,255.2,29.5,3
Raheem Mostert,RB,MIA,252.4,30.8,4
Javonte Williams,RB,DEN,248.8,32.1,4
Zamir White,RB,LV,245.2,34.5,4
Gus Edwards,RB,LAC,242.1,36.2,4
Devin Singletary,RB,NYG,238.5,38.4,4
Brian Robinson,RB,WAS,235.2,40.1,4
Ty Chandler,RB,MIN,232.4,42.5,4
Jaylen Warren,RB,PIT,228.8,44.2,4
Tony Pollard,RB,TEN,225.2,46.8,4
Ezekiel Elliott,RB,DAL,218.5,52.1,5
Jerome Ford,RB,CLE,215.2,54.5,5
Tyjae Spears,RB,TEN,212.4,56.2,5
Zach Charbonnet,RB,SEA,208.8,58.4,5
Antonio Gibson,RB,NE,205.2,60.1,5
Dameon Pierce,RB,HOU,202.4,62.5,5
Tyreek Hill,WR,MIA,348.2,8.1,1
CeeDee Lamb,WR,DAL,342.5,9.4,1
Justin Jefferson,WR,MIN,338.8,2.5,1
Ja'Marr Chase,WR,CIN,332.4,4.2,1
Amon-Ra St. Brown,WR,DET,328.6,6.1,1
A.J. Brown,WR,PHI,325.2,7.4,1
Garrett Wilson,WR,NYJ,318.8,13.2,1
Davante Adams,WR,LV,312.4,15.8,2
Brandon Aiyuk,WR,SF,308.2,17.2,2
Puka Nacua,WR,LAR,305.6,18.4,2
Chris Olave,WR,NO,302.4,19.8,2
Stefon Diggs,WR,HOU,298.8,21.2,2
DJ Moore,WR,CHI,295.2,22.5,2
Deebo Samuel,WR,SF,292.4,24.1,2
Jaylen Waddle,WR,MIA,288.8,25.4,3
DK Metcalf,WR,SEA,285.2,26.8,3
Michael Pittman,WR,IND,282.4,28.2,3
Keenan Allen,WR,CHI,278.8,29.5,3
Mike Evans,WR,TB,275.2,30.8,3
Cooper Kupp,WR,LAR,272.4,32.1,3
Nico Collins,WR,HOU,268.8,33.4,4
DeVonta Smith,WR,PHI,265.2,34.8,4
Zay Flowers,WR,BAL,262.4,36.2,4
Tee Higgins,WR,CIN,258.8,38.1,4
Tyler Lockett,WR,SEA,255.2,40.4,4
Christian Kirk,WR,JAX,252.4,42.2,4
Calvin Ridley,WR,TEN,248.8,44.5,4
Amari Cooper,WR,CLE,245.2,46.8,4
Terry McLaurin,WR,WAS,242.4,48.2,4
Drake London,WR,ATL,238.8,50.1,5
George Pickens,WR,PIT,235.2,52.4,5
Jaxon Smith-Njigba,WR,SEA,232.4,54.8,5
Jordan Addison,WR,MIN,228.8,56.2,5
Marquise Brown,WR,KC,225.2,58.4,5
Romeo Doubs,WR,GB,222.4,60.1,5
Rashid Shaheed,WR,NO,218.8,62.5,5
Khalil Shakir,WR,BUF,215.2,65.2,5
Travis Kelce,TE,KC,285.4,15.1,1
Sam LaPorta,TE,DET,278.2,16.4,1
Trey McBride,TE,ARI,268.8,18.2,1
George Kittle,TE,SF,262.4,28.5,2
Mark Andrews,TE,BAL,258.2,30.1,2
Dalton Kincaid,TE,BUF,252.8,32.4,2
Kyle Pitts,TE,ATL,248.2,34.8,2
Evan Engram,TE,JAX,242.4,36.2,2
David Njoku,TE,CLE,238.8,38.5,3
Jake Ferguson,TE,DAL,232.4,42.1,3
Pat Freiermuth,TE,PIT,228.2,45.2,3
Dalton Schultz,TE,HOU,225.4,48.4,3
Cole Kmet,TE,CHI,222.8,50.2,3
Hunter Henry,TE,NE,218.2,55.1,4
Tyler Conklin,TE,NYJ,215.4,58.2,4
Chigoziem Okonkwo,TE,TEN,212.8,60.4,4
Luke Musgrave,TE,GB,208.2,62.5,4
Harrison Butker,K,KC,155.2,120.1,1
Justin Tucker,K,BAL,152.4,122.3,1
Brandon Aubrey,K,DAL,150.8,124.5,1
Tyler Bass,K,BUF,148.2,126.2,1
Jake Elliott,K,PHI,145.4,128.4,1
Evan McPherson,K,CIN,142.8,130.1,1
Jason Sanders,K,MIA,140.2,132.5,2
Younghoe Koo,K,ATL,138.4,134.2,2
Dustin Hopkins,K,CLE,135.8,136.4,2
Ka'imi Fairbairn,K,HOU,132.2,138.1,2
San Francisco 49ers,DST,SF,145.2,105.2,1
Dallas Cowboys,DST,DAL,142.4,108.5,1
New York Jets,DST,NYJ,140.8,110.2,1
Cleveland Browns,DST,CLE,138.2,112.4,1
Baltimore Ravens,DST,BAL,135.4,114.1,1
Buffalo Bills,DST,BUF,132.8,116.5,2
Miami Dolphins,DST,MIA,130.2,118.2,2
Kansas City Chiefs,DST,KC,128.4,120.4,2
Philadelphia Eagles,DST,PHI,125.8,122.1,2
Pittsburgh Steelers,DST,PIT,122.4,124.5,2
